stopwords
during
herself
him
needn't
she
their
for
his
was
should
does
been
them
which
over
you
both
very
won
wouldn't
each
an
into
most
as
ourselves
a
isn't
all
so
doesn
don
few
too
didn't
wasn
haven't
ma
himself
m
before
at
here
hadn't
against
did
own
then
now
your
when
wouldn
hers
hasn't
o
can
mustn't
who
its
yourselves
more
that'll
am
me
couldn
wasn't
will
mustn
weren
and
itself
after
with
whom
shan
theirs
those
yours
s
under
above
re
mightn
shouldn
it's
down
to
of
she's
myself
doing
you'd
once
isn
in
why
didn
do
no
again
themselves
not
being
shouldn't
have
there
don't
same
couldn't
ain
needn
has
you're
be
won't
shan't
had
doesn't
aren
until
are
should've
such
up
you've
by
this
ve
or
ll
if
our
you'll
haven
that
on
i
mightn't
ours
below
weren't
other
these
while
the
we
they
from
were
through
hadn
her
having
what
d
he
any
some
it
but
further
hasn
between
because
yourself
y
about
off
is
where
t
my
aren't
than
only
nor
just
how
out
